,date,CNTY_NM,xco2
7931,2019-07-11,Oldham,410.16265328965216
7932,2019-07-11,Parmer,409.5865496546375
7933,2019-07-11,Reagan,406.68429703029614
7934,2019-07-11,Terry,407.080114301708
7935,2019-07-11,Val Verde,406.6135696799069
7936,2019-07-13,Armstrong,405.8653494512028
7937,2019-07-13,Briscoe,406.0913533337314
7938,2019-07-13,Carson,405.168378227957
7939,2019-07-13,Coke,403.4646342254498
7940,2019-07-13,Concho,404.92442591736716
7941,2019-07-13,Dickens,405.1808500662446
7942,2019-07-13,Frio,407.9752980032936
7943,2019-07-13,Hansford,405.3935608161347
7944,2019-07-13,Hutchinson,405.16081091170923
7945,2019-07-13,La Salle,405.95481352118605
7946,2019-07-13,Menard,405.05277138436213
7947,2019-07-13,Motley,403.9633241225571
7948,2019-07-13,Nolan,404.06033180521
7949,2019-07-13,Sherman,405.16186482654734
7950,2019-07-13,Starr,409.46630178950727
7951,2019-07-13,Uvalde,405.40458240474646
7952,2019-07-15,Anderson,406.3209460582584
7953,2019-07-15,Fannin,407.9785397222552
7954,2019-07-15,Henderson,406.0556064359844
7955,2019-07-15,Houston,403.5923629999161
7956,2019-07-15,Hunt,405.4077399543307
7957,2019-07-15,Jeff Davis,408.0424499511719
7958,2019-07-15,Rains,407.1127795296806
7959,2019-07-15,Van Zandt,405.3234782380362
7960,2019-07-17,Bowie,405.480110596211
7961,2019-07-17,Cass,404.97359545302714
7962,2019-07-17,Harrison,405.12109305435683
7963,2019-07-17,Jasper,406.6383116878569
7964,2019-07-17,Marion,407.6267631414036
7965,2019-07-17,Newton,407.72813922926986
7966,2019-07-17,Panola,406.08799567313065
7967,2019-07-17,Sabine,406.6368551734327
7968,2019-07-17,Shelby,407.08165827461266
7969,2019-07-18,Brewster,407.9592556831292
7970,2019-07-18,Loving,407.9090010943926
7971,2019-07-18,Pecos,408.82082448827975
7972,2019-07-18,Reeves,409.8917641636819
7973,2019-07-18,Ward,408.4408026280905
7974,2019-07-18,Winkler,407.9453031360907
7975,2019-07-20,Crockett,407.48185147681545
7976,2019-07-20,Dawson,406.5078292510209
7977,2019-07-20,Deaf Smith,408.7322341411949
7978,2019-07-20,Hartley,409.3120569450548
7979,2019-07-20,Hockley,406.08449409853995
7980,2019-07-20,Lamb,406.58836749769597
7981,2019-07-20,Martin,406.5789572727543
7982,2019-07-20,Midland,406.77029724936295
7983,2019-07-20,Oldham,409.8097890164354
7984,2019-07-20,Parmer,407.6949496285376
7985,2019-07-20,Reagan,406.86042172935487
7986,2019-07-20,Terry,406.15927061862163
7987,2019-07-20,Upton,406.78208137655423
7988,2019-07-20,Val Verde,407.88877900136083
7989,2019-07-22,Burleson,410.956225823611
7990,2019-07-22,Colorado,405.2837311680759
7991,2019-07-22,Falls,405.95707032480277
7992,2019-07-22,Fayette,406.4055227334737
7993,2019-07-22,Lee,409.232045058161
7994,2019-07-22,McLennan,406.794082664419
7995,2019-07-22,Montague,404.5869017400864
7996,2019-07-22,Wise,406.86794953351773
7997,2019-07-24,Anderson,402.9819490701965
7998,2019-07-24,Fannin,402.8947666226993
7999,2019-07-24,Galveston,403.1013453009823
8000,2019-07-24,Harris,403.2271475201317
8001,2019-07-24,Henderson,402.9581427208281
8002,2019-07-24,Houston,403.03302507678785
8003,2019-07-24,Hunt,402.96098126822875
8004,2019-07-24,Montgomery,402.9972968723248
8005,2019-07-24,San Jacinto,402.83336582231436
8006,2019-07-24,Trinity,401.938334107399
8007,2019-07-24,Van Zandt,402.63950517464457
8008,2019-07-24,Walker,403.2217753962774
8009,2019-07-25,Culberson,409.2367846708469
8010,2019-07-25,Jeff Davis,409.1256742997627
8011,2019-07-25,Presidio,406.37037398322565
8012,2019-07-26,La Salle,405.62793986002606
8013,2019-07-27,Brewster,405.61811001680326
8014,2019-07-27,Loving,408.0999493784144
8015,2019-07-27,Pecos,407.7359138776686
8016,2019-07-27,Reeves,407.2371054368479
8017,2019-07-27,Ward,408.30978629259414
8018,2019-07-29,Bee,406.9978760260089
8019,2019-07-29,Bexar,404.65619531460106
8020,2019-07-29,Blanco,405.6293907089402
8021,2019-07-29,Brown,404.43757792342114
8022,2019-07-29,Callahan,405.87925104773603
8023,2019-07-29,Cameron,406.7395072154425
8024,2019-07-29,Childress,410.0422200281173
8025,2019-07-29,Coleman,405.5629620752506
8026,2019-07-29,Comal,405.3753373833994
8027,2019-07-29,Cottle,408.3756194449961
8028,2019-07-29,Donley,404.0659890354921
