Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
4/27/2019,AQS,480271045,1,9,ug/m3 LC,38,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
4/28/2019,AQS,480271045,1,6.9,ug/m3 LC,29,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
4/29/2019,AQS,480271045,1,9.6,ug/m3 LC,40,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
4/30/2019,AQS,480271045,1,15.2,ug/m3 LC,58,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
5/1/2019,AQS,480271045,1,14.1,ug/m3 LC,55,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
5/2/2019,AQS,480271045,1,4,ug/m3 LC,17,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
5/3/2019,AQS,480271045,1,4.4,ug/m3 LC,18,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
5/4/2019,AQS,480271045,1,5.5,ug/m3 LC,23,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
5/5/2019,AQS,480271045,1,7.7,ug/m3 LC,32,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
5/6/2019,AQS,480271045,1,7.9,ug/m3 LC,33,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
5/7/2019,AQS,480271045,1,8.6,ug/m3 LC,36,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
5/8/2019,AQS,480271045,1,4.5,ug/m3 LC,19,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
5/9/2019,AQS,480271045,1,8.3,ug/m3 LC,35,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
5/10/2019,AQS,480271045,1,5.4,ug/m3 LC,23,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
5/11/2019,AQS,480271045,1,3.2,ug/m3 LC,13,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
5/12/2019,AQS,480271045,1,3.5,ug/m3 LC,15,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
5/13/2019,AQS,480271045,1,5.5,ug/m3 LC,23,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
5/14/2019,AQS,480271045,1,7.7,ug/m3 LC,32,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
5/15/2019,AQS,480271045,1,9.5,ug/m3 LC,40,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
5/16/2019,AQS,480271045,1,9.7,ug/m3 LC,40,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
5/17/2019,AQS,480271045,1,10,ug/m3 LC,42,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
