,Date,Site ID,County,FIPS,Value
188,2020-01-05,52,Bexar,48029,1.109459090909091
189,2020-01-05,55,El Paso,48141,77.30418631578948
190,2020-01-05,56,Galveston,48167,5.7664825
191,2020-01-05,59,Bexar,48029,12.071992272727273
192,2020-01-05,617,Harris,48201,15.24307631578947
193,2020-01-05,628,Jefferson,48245,10.081874782608699
194,2020-01-05,7,Smith,48423,2.046871818181818
195,2020-01-05,75,Dallas,48113,9.75452863636364
196,2020-01-05,75,Tarrant,48439,5.893146818181818
197,2020-01-05,803,Harris,48201,16.169466842105262
198,2020-01-05,87,Dallas,48113,6.997227727272726
199,2020-01-05,9,Jefferson,48245,10.615697727272732
200,2020-01-06,1,Gregg,48183,4.3531683333333335
201,2020-01-06,1001,Orange,48361,7.617007916666667
202,2020-01-06,1002,Tarrant,48439,14.29910125
203,2020-01-06,1006,Hunt,48231,3.767028333333333
204,2020-01-06,101,Jefferson,48245,1.54428125
205,2020-01-06,102,Jefferson,48245,6.7048
206,2020-01-06,1035,Harris,48201,36.954058333333336
207,2020-01-06,1035,Jefferson,48245,4.356697499999999
208,2020-01-06,1038,Wilson,48493,9.46811708333333
209,2020-01-06,1044,Ellis,48139,14.26860043478261
211,2020-01-06,1053,Tarrant,48439,17.903134166666668
212,2020-01-06,1067,Dallas,48113,32.06307
213,2020-01-06,1068,Travis,48453,44.02690875
214,2020-01-06,1070,Karnes,48255,5.693135416666666
215,2020-01-06,1100,Orange,48361,11.061024
216,2020-01-06,1607,Brazoria,48039,2.726760416666667
217,2020-01-06,2,Harrison,48203,7.064445833333333
218,2020-01-06,2003,Tarrant,48439,15.97246875
219,2020-01-06,22,Jefferson,48245,4.613561666666667
220,2020-01-06,3009,Tarrant,48439,9.48070333333333
221,2020-01-06,32,Bexar,48029,15.958184166666666
222,2020-01-06,34,Denton,48121,8.068463958333332
223,2020-01-06,37,El Paso,48141,27.63930041666667
224,2020-01-06,416,Harris,48201,22.274047083333336
225,2020-01-06,44,El Paso,48141,43.27579874999999
226,2020-01-06,47,Harris,48201,20.742575000000002
227,2020-01-06,5,Kaufman,48257,9.786611666666667
228,2020-01-06,52,Bexar,48029,3.6591850000000004
229,2020-01-06,55,El Paso,48141,32.93331583333333
230,2020-01-06,56,Galveston,48167,4.98893
231,2020-01-06,59,Bexar,48029,8.000389583333336
232,2020-01-06,617,Harris,48201,20.513175
233,2020-01-06,628,Jefferson,48245,11.317025833333336
234,2020-01-06,7,Smith,48423,3.279158333333333
235,2020-01-06,75,Dallas,48113,16.640299999999996
236,2020-01-06,75,Tarrant,48439,12.265705833333332
237,2020-01-06,803,Harris,48201,25.00324166666667
238,2020-01-06,87,Dallas,48113,22.228160000000003
239,2020-01-06,9,Jefferson,48245,9.626167083333334
240,2020-01-07,1,Gregg,48183,7.432906521739131
241,2020-01-07,1001,Orange,48361,12.934983333333332
242,2020-01-07,1002,Tarrant,48439,20.72328375
243,2020-01-07,1006,Hunt,48231,8.259998695652174
244,2020-01-07,101,Jefferson,48245,4.540768333333333
245,2020-01-07,102,Jefferson,48245,12.27395625
246,2020-01-07,1035,Harris,48201,26.857941250000003
